Nome,Classe,CNPJ,Pais Sede,Ativo /|Cancelado,ID da|empresa,Setor NAICS|ult disponiv,Setor|Economática,Tipo de Ativo,Bolsa,Código,ISIN,Meses|Dez 2011|no exercício|consolid:sim*,Ativo Tot|Dez 2011|em moeda orig|em milhares|consolid:sim*,Patrim Liq|Dez 2011|em moeda orig|em milhares|consolid:sim*,Receita|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Bruto|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Lucro Liq|Dez 2011|em moeda orig|em milhares|no exercício|consolid:sim*,Moeda dos|Balanços,Qtd Ações|Outstanding|da empresa|em milhares|31Dez11,LPA|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,VPA|Dez 2011|em moeda orig|consolid:sim*|ajust p/ prov,Vendas/Acao|Dez 2011|em moeda orig|de 12 meses|consolid:sim*|ajust p/ prov,Divid por Ação|31Dez11|1 anos|em moeda orig,Div Yld (fim)|31Dez11|no Ano|em moeda orig,Div Yld (inic)|31Dez11|1 anos|em moeda orig,PrinAcion|31/12/2011|1.Maior|Sem Voto,%AcPoss|31/12/2011|1.Maior|Sem Voto,PrinAcion|31/12/2011|2.Maior|Sem Voto,%AcPoss|31/12/2011|2.Maior|Sem Voto,PrinAcion|31/12/2011|3.Maior|Sem Voto,%AcPoss|31/12/2011|3.Maior|Sem Voto,PrinAcion|31/12/2011|4.Maior|Sem Voto,%AcPoss|31/12/2011|4.Maior|Sem Voto,PrinAcion|31/12/2011|5.Maior|Sem Voto,%AcPoss|31/12/2011|5.Maior|Sem Voto,PrinAcion|31/12/2011|6.Maior|Sem Voto,%AcPoss|31/12/2011|6.Maior|Sem Voto,PrinAcion|31/12/2011|7.Maior|Sem Voto,%AcPoss|31/12/2011|7.Maior|Sem Voto,PrinAcion|31/12/2011|8.Maior|Sem Voto,%AcPoss|31/12/2011|8.Maior|Sem Voto,PrinAcion|31/12/2011|9.Maior|Sem Voto,%AcPoss|31/12/2011|9.Maior|Sem Voto,PrinAcion|31/12/2011|10.Maior|Sem Voto,%AcPoss|31/12/2011|10.Maior|Sem Voto,PrinAcion|31/12/2011|1.Maior|Com Voto,%AcPoss|31/12/2011|1.Maior|Com Voto,PrinAcion|31/12/2011|2.Maior|Com Voto,%AcPoss|31/12/2011|2.Maior|Com Voto,PrinAcion|31/12/2011|3.Maior|Com Voto,%AcPoss|31/12/2011|3.Maior|Com Voto,PrinAcion|31/12/2011|4.Maior|Com Voto,%AcPoss|31/12/2011|4.Maior|Com Voto,PrinAcion|31/12/2011|5.Maior|Com Voto,%AcPoss|31/12/2011|5.Maior|Com Voto,PrinAcion|31/12/2011|6.Maior|Com Voto,%AcPoss|31/12/2011|6.Maior|Com Voto,PrinAcion|31/12/2011|7.Maior|Com Voto,%AcPoss|31/12/2011|7.Maior|Com Voto,PrinAcion|31/12/2011|8.Maior|Com Voto,%AcPoss|31/12/2011|8.Maior|Com Voto,PrinAcion|31/12/2011|9.Maior|Com Voto,%AcPoss|31/12/2011|9.Maior|Com Voto,PrinAcion|31/12/2011|10.Maior|Com Voto,%AcPoss|31/12/2011|10.Maior|Com Voto
Randon Part,ON,89086144000116,BR,ativo,1410,Indústria de carrocerias e trailers,Veiculos e peças,Ação,Bovespa,RAPT3,BRRAPTACNOR7,12,4016536,1354272,4156396,1018893,269149,Real,241029,1.1166664592,5.6187097818,17.244381382,0.3682171,4.9,3.9,Dramd Particip e Administr Ltda,21.1,Previ Cx Prev Funcs Bco Brasil,8.1,Acoes em Tesouraria,1.7,Gaar Antares FI Mult,0.0,-,0.0,-,0.0,-,0.0,-,0,-,0.0,-,-,Dramd Particip e Administr Ltda,79,Previ Cx Prev Funcs Bco Brasil,10.1,CSHG Verde Master FI Mult,5,Green HG Fund Llc,1.8,CSHG Verde Equity Master FIA,1,CSHG Dividendos FIC FIA,0,CSHG Val Divid Fundo Inv Acoes,0.0,-,0,-,0,-,-
Rasip Agro,ON,94789468000150,BR,ativo,1827,Cultivo de frutas e nozes,Agro e Pesca,Ação,Bovespa,RSIP3,BRRSIPACNOR2,12,148612,62259,85188,17310,3979,Real,200077,0.019887343373,0.31117519755,0.42577607621,0,0.0,0.0,Dramd Particip e Administr Ltda,72.5,Luiz Barsi Filho,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Dramd Particip e Administr Ltda,88,Luiz Barsi Filho,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Recrusul,ON,91333666000117,BR,ativo,1257,Indústria de carrocerias e trailers,Veiculos e peças,Ação,Bovespa,RCSL3,BRRCSLACNOR4,12,77215,-47763,8685,1459,-33242,Real,63911,-0.52726814176,-0.74733613932,0.13775716898,0,0.0,0.0,Francisco Asclepio Barroso Aguiar,22.4,Jose Oswaldo Morales Junior,4.9,Ari Jose Hilgert,1.2,Valayr Helio Wosiack,0.6,-,0.0,-,0.0,-,0.0,-,0,-,-,-,-,Francisco Asclepio Barroso Aguiar,20,Porto Capital Inv e Participacoes Ltda,18.8,Master Consultoria e Assess Empresarial,19,Ari Jose Hilgert,12.7,Jose Oswaldo Morales Junior,10,Clube de Inv Ajh Centauro,8,Valayr Helio Wosiack,3.5,Peterson Balderrama Dos Reis,3,-,-,-,-
Rede Energia,ON,61584140000149,BR,ativo,319,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,REDE3,BRREDEACNOR7,12,12935830,623773,7782422,1687769,-688035,Real,426592,-1.8359211543,1.4622238579,20.766259247,0,0.0,0.0,Bndespar - BNDES Participacoes SA,51.1,Empresa de Eletric. Vale Paranapanema SA,35.8,Denerge Desenvolvimento Energ. S/A,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Empresa de Eletric. Vale Paranapanema SA,83,Denerge Desenvolvimento Energ. S/A,14.8,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Redecard,ON,1425787000104,BR,ativo,2089,Serviços de processamento de dados,Software e Dados,Ação,Bovespa,RDCD3,BRRDCDACNOR3,12,28897604,1581315,2772506,1988158,1404422,Real,672876,2.0875462744,2.3500851919,4.1210793986,1.8267927987,6.3,8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Banestado Participacoes, Adm e Servs.Ltd",23,Dibens Leasing S/A - Arrendamento Mercan,19.0,Lazard Asset Management Llc,12,Unibanco Uniao de Bancos Brasileiro,4.2,Itau-Unibanco S.A.,4,Acoes em Tesouraria,0,-,-,-,-,-,-,-,-
Redentor,ON,12126500000153,BR,ativo,2212,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,RDTR3,BRRDTRACNOR7,12,448957,433372,0,0,38411,Real,108481,0.35408043805,3.9949115513,0,1.42,20.6,18.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Parati S.A. Participacoes em Ativos de Energia Eletrica,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Renar,ON,86550951000150,BR,ativo,1965,Cultivo de frutas e nozes,Agro e Pesca,Ação,Bovespa,RNAR3,BRRNARACNOR6,12,182416,46812,52522,-1395,-21599,Real,110000,-0.19635454545,0.42556363636,0.47747272727,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Efc Participacoes S/A,25,Willyfrey Participacoes Ltda,16.2,Setentriun Participacoes Ltda,12,Erica Frey Caldart,8.9,-,-,-,-,-,-,-,-,-,-,-,-
Renova,ON,8534605000174,BR,ativo,2163,"Geração, transmissão e distribuição de energia elétrica",Energia Elétrica,Ação,Bovespa,RNEW3,BRRNEWACNOR8,12,1579501,646874,37938,25663,2572,Real,195596,0.015886759019,3.3071902279,0.23433587234,0,-,-,Infrabrasil Fundo de Investimento S.A,46.2,Fundo de Investimento em Participacoes Caixa Ambiental - FIP Caixa Ambiental,18.5,Santa Barbara FIP,16.8,Banco Santander Brasil S.A.,7.5,Rr Participacoes S.A,1.9,-,0.0,-,-,-,-,-,-,-,-,Rr Participacoes S.A,48,Light Energia SA,34.8,Infrabrasil Fundo de Investimento S.A,8,Fundo de Investimento em Participacoes Caixa Ambiental - FIP Caixa Ambiental,3.2,Santa Barbara FIP,3,Banco Santander Brasil S.A.,1,-,-,-,-,-,-,-,-
Rimet,ON,29388352000148,BR,ativo,1284,Forjarias e estamparias,Siderur & Metalur,Ação,Bovespa,REEM3,BRREEMACNOR8,12,210529,-337026,155367,7673,-56997,Real,6147513,-0.0092715543644,-0.054823149399,0.02527314748,0,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cia Brasileira de Latas,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Riosulense,ON,85778074000106,BR,ativo,1343,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,RSUL3,BRRSULACNOR6,12,194917,22006,143152,35173,-2919,Real,583,-5.0068610635,37.746140652,245.54373928,0,-,-,Joao Stramosk,34.7,Carlos Eduardo V. de Oliveira,18.0,Fernando Aboudib Camargo,14.7,-,0.0,-,0.0,-,0.0,-,0.0,-,0,-,-,-,-,Joao Stramosk,90,Luis Antonio Stramosk,2.0,Jose Eduardo Stramosk,2,Joao Stramosk Filho,2.0,Eugenio Cesar Stramosk,2,Carlos Henrique Stramosk,2,-,0.0,-,0,-,-,-,-
Rjcp Equity,ON,8281683000104,BR,ativo,2233,Outros fundos,Fundos,Ação,Bovespa,RJCP3,BRRJCPACNOR4,12,17123,17103,0,0,435,Real,629025,0.00071794589588,0.027189642701,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Marcelo Impellizieri de Moraes Bastos,70,Metynis Participacoes S.A.,12.3,Rio de Janeiro Capital Partners Ltd.,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rodobensimob,ON,67010660000124,BR,ativo,2045,Construção de edifícios residenciais,Construção,Ação,Bovespa,RDNI3,BRRDNIACNOR9,12,2031159,712936,746684,166556,57893,Real,48014,1.1948657451,14.84850252,15.41096737,0.35033412256,3.1,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gv Holding S/A,25,Waldemar Verdi Junior,11.2,Credit Suisse Hedging-Griffo C. V. S/A,11,Fama Investimentos Ltda,9.1,Giuliano Finimundi Verdi,7,Legg Mason Inc.,6,Eduardo Gorayeb,5.3,-,-,-,-,-,-
Rossi Resid,ON,61065751000180,BR,ativo,1630,Construção de edifícios residenciais,Construção,Ação,Bovespa,RSID3,BRRSIDACNOR8,12,7450240,2784404,3072160,921034,339725,Real,266538,1.2710025583,10.446572825,11.493776494,0.310473732,3.9,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oficinalis Adm. e Participacoes Ltda,18,Jopar Administracao Ltda.,17.8,Carmignac Inv Bco Santander S.A.,7,"Blackrock, Inc",6.3,Alliance Bernstein L.P.,5,Newton Investment Management Ltd.,3,Hilda Maria Rossi Cuppoloni,0.3,Paradiso Adm. e Part. Ltda,0,Arpoador Adm. e Part. Ltda,0,Joao Rossi Cuppoloni,0.2
Sabesp,ON,43776517000180,BR,ativo,1444,"Agua, esgoto e outros sistemas",Outros,Ação,Bovespa,SBSP3,BRSBSPACNOR5,12,25214984,10545896,9941637,3910660,1223419,Real,227836,5.3697241856,46.287224144,43.634967777,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Governo do Estado de Sao Paulo,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sabesp,ON,43776517000180,BR,ativo,1444,"Agua, esgoto e outros sistemas",Outros,"ADR,etc (emp estrang)",NYSE,SBS,US20441A1025,12,25214984,10545896,9941637,3910660,1223419,Real,227836,-,-,-,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Governo do Estado de Sao Paulo,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sam Industr,ON,33017039000170,BR,ativo,1298,Indústria de ferramentas de metal não motorizadas e cutelaria,Siderur & Metalur,Ação,Bovespa,FCAP3,BRFCAPACNOR8,-,-,-,-,-,-,Real,19446,-,-,-,0,-,-,Banco Nacional S/A,10.8,Marcio Felipe Dos Santos,5.6,FPS Fundo de Participacao Social,2.5,Boulder Participacoes Ltda,1.4,-,0.0,-,-,-,-,-,-,-,-,-,-,Boulder Participacoes Ltda,43,FPS Fundo de Participacao Social,18.3,Bndespar - BNDES Participacoes SA,11,Banco Nacional S/A,2.3,-,0,-,-,-,-,-,-,-,-,-,-
Sanepar,ON,76484013000145,BR,ativo,1862,"Agua, esgoto e outros sistemas",Outros,Ação,Bovespa,SAPR3,BRSAPRACNOR9,12,5678744,2310399,1742395,1015847,249170,Real,414082,0.60174045354,5.5795663287,4.2078482865,0.16031619068,-,-,Estado do Parana,35.0,Domino Holdings S/A,23.2,Dec Investimentos Ltda,7.0,Pollux Capital Administradora de Recursos Ltda,5.3,-,-,-,-,-,-,-,-,-,-,-,-,Estado do Parana,60,Domino Holdings S/A,39.7,-,0,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Sansuy,ON,14807945000124,BR,ativo,1269,Indústria de produtos de plástico,Outros,Ação,Bovespa,SNSY3,BRSNSYACNOR2,12,343574,-252495,372112,95739,-61754,Real,19291,-3.2011818983,-13.088746047,19.289409569,0,0.0,0.0,Sansuy Adm Part e Repr e Serv Ltda,34.8,Amauri Lampert Filho,14.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sansuy Adm Part e Repr e Serv Ltda,74,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Santander BR,ON,90400888000142,BR,ativo,2053,Bancos,Finanças e Seguros,Ação,Bovespa,SANB3,BRSANBACNOR8,12,399886082,78013032,-,-,7747925,Real,398297178,0.019424599423,0.19586639401,-,0.00760528084,4.8,3.2,Sterrebeeck BV,46.5,Grupo Empresarial Santander S.L.,34.1,Santander Insurance Holding S.L.,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sterrebeeck BV,47,Grupo Empresarial Santander S.L.,35.2,Santander Insurance Holding S.L.,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Santanense,ON,21255567000189,BR,ativo,408,Tecelagens,Textil,Ação,Bovespa,CTSA3,BRCTSAACNOR3,12,342993,221202,370375,84905,24372,Real,39299,0.62016845212,5.6286928421,9.4245400646,0.13056,4.0,5.0,Casa de Caridade Manoel G S Moreira,9.0,Fundacao Sao Vicente de Paula,6.9,Jose Oswaldo Morales Junior,5.9,Maria Eneida Nogueira Guimaraes,5.0,-,0.0,-,0.0,-,-,-,-,-,-,-,-,Oxford Comercio e Participacoes S/A,89,Cia Tecidos Norte Minas Coteminas,2.1,Casa de Caridade Manoel G S Moreira,1,Fundacao Sao Vicente de Paula,0.5,Maria Eneida Nogueira Guimaraes,0,Jose Oswaldo Morales Junior,0,-,-,-,-,-,-,-,-
Santos Brp,ON,2762121000104,BR,ativo,1789,Atividades auxiliares ao transporte aquático,Transporte Serviç,Ação,Bovespa,STBP3,BRSTBPACNOR3,12,2408421,1285652,1124670,498174,246562,Real,660861,0.3742962916,1.9454196873,1.7073182821,0.281309846,-,-,International Markets Investments C,13.8,Credit Suisse Hedging Griffo Asset Management S.A.,12.4,BNY Mellon ARX Investimentos Ltda,5.6,Rk Exclusivo Fundo de Investimento em Acoes,4.9,Credit Suisse Hedging-Griffo Serv Int S.A.,2.9,Brasil Terminais S/A,1.0,-,0.0,-,0,-,0.0,-,0.0,International Markets Investments C,33,Pw237 Participacoes S/A,30.1,Multi Sts Participacoes S/A,15,Brasil Terminais S/A,11.5,Credit Suisse Hedging Griffo Asset Management S.A.,1,Opp I Fundo de Investimento em Acoes,1,BNY Mellon ARX Investimentos Ltda,0.6,Rk Exclusivo Fundo de Investimento em Acoes,1,Credit Suisse Hedging-Griffo Serv Int S.A.,0,Richard Klien,0.2
Sao Carlos,ON,29780061000109,BR,ativo,1378,Locadora de imóveis,Outros,Ação,Bovespa,SCAR3,BRSCARACNOR7,12,1740095,735686,344191,216080,96359,Real,57261,1.68110332,12.84794188,6.0048426491,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Cia Global de Imoveis, Llc - Credit Suisse (Brasil) S/A Ctvm",19,Ac0 Fundo de Investimento Multimercado,16.9,Carlos Alberto da Veiga Sicupira,10,Marcel Herrmann Telles,10.5,Cedar Trade Llc,10,HSBC Global Investment Funds - Brazil Equity,5,The Master Tr Bank Of Japan As Tr For HSBC Brazil Mother Fd,3.6,Acoes em Tesouraria,1,"Trust And Cus Services Bank, Ltd. As Trt HSBC BR New Mo Fd",0,-,-
Sao Martinho,ON,51466860000156,BR,ativo,2051,Indústria de açúcar e produtos de confeitaria,Alimentos e Beb,Ação,Bovespa,SMTO3,BRSMTOACNOR3,9,4834415,2056686,1107518,349065,131509,Real,112620,1.2704551391,18.262108819,12.299059083,0.267958374,1.6,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ljn Participacoes S.A.,56,Homero Correa de Arruda Filho,2.0,Luiz Olavo Batista,1,Nelson Ometto,0.3,Acoes em Tesouraria,0,Joao Guilherme Sabino Ometto,0,Murilo Cesar Lemos Dos Santos Passo,0.0,Luiz Antonio Cero Ometto,0,Marcelo Campos Ometto,0,-,-
Saraiva Livr,ON,60500139000126,BR,ativo,1047,"Editoras de jornais, livros e base de dados",Outros,Ação,Bovespa,SLED3,BRSLEDACNOR0,12,1337446,466155,1888967,803369,64920,Real,28283,2.2893875614,16.48180886,66.613948764,0.87824,-,2.9,Amundi Funds,15.0,HSBC Bank Brasil SA,14.8,Aberdeen Asset Management Plc,10.8,Itau,8.2,Investidor Profissional Adm. de Rec,6.9,Western Asset Management Company Dtvm Ltda.,5.2,Leblon Equities,5.0,Acoes em Tesouraria,1,Jorge Eduardo Saraiva,0.2,Maria Cecilia Saraiva M. Goncalves,0.0,Jorge Eduardo Saraiva,47,Olga Maria Barbosa Saraiva,11.8,Maria Eugenia Saraiva M. Goncalves,5,Maria Henriqueta Saraiva M. Goncalv,5.1,Maria Cecilia Saraiva M. Goncalves,5,Maria Sylvia Saraiva M. Goncalves,5,Ernesto Zarzur,5.0,Investidor Profissional Adm. de Rec,0,-,0,-,0.0
Sauipe,ON,866577000180,BR,ativo,1526,"Hotel, motel ou similar",Outros,Ação,Bovespa,PSEG3,BRPSEGACNOR4,12,29547,-7802,122914,4816,-11381,Real,734458,-0.015822683545,-0.010622799397,0.17088387007,0,-,-,Previ Cx Prev Funcs Bco Brasil,100.0,Fundo Mutuo Inv. Acoes BB Cart. Livre I,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previ Cx Prev Funcs Bco Brasil,100,Fundo Mutuo Inv. Acoes BB Cart. Livre I,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schlosser,ON,82981929000103,BR,ativo,354,Tecelagens,Textil,Ação,Bovespa,SCLO3,BRSCLOACNOR1,12,114822,-85018,749,-131,-27984,Real,960,-29.15,-88.560416667,0.78020833333,0,-,-,Henrique Brenner,50.8,Brusque Participacoes Ltda,0.6,Adm Indl Coml e Agricola S/A,0.5,W Schlosser Part. Societarias Ltda,0.5,Dorly Schlosser,0.3,Adm Hugo Schlosser S/A,0.0,-,-,-,-,-,-,-,-,W Schlosser Part. Societarias Ltda,21,Henrique Brenner,16.8,Dorly Schlosser,16,Brusque Participacoes Ltda,16.0,Adm Indl Coml e Agricola S/A,9,Adm Hugo Schlosser S/A,8,-,-,-,-,-,-,-,-
Schulz,ON,84693183000168,BR,ativo,1466,Indústria de autopeças,Veiculos e peças,Ação,Bovespa,SHUL3,BRSHULACNOR7,12,830513,282131,702750,203235,49059,Real,63817,0.76874500773,4.4209431902,11.011956097,0.171458,-,-,Clube de Investimentos Sol,20.9,Sergio Eduardo Ferreira Rodarte,8.6,Ovandi Rosenstock,6.8,Waldir Carlos Schulz,6.8,Gert Heinz Schulz,6.8,Norges Bank - HSBC Ctvm S.A.,6.7,Vbi Exclusivo Acoes Fundo de Investimento,5.9,Alexandre Eduardo Rosenstock,5,Orbe Value Master FIA,4.8,Doriane Braatz,4.0,Erna Anna Schulz,30,Doriane Braatz,18.3,Ovandi Rosenstock,18,Waldir Carlos Schulz,16.7,Gert Heinz Schulz,17,-,0,-,0.0,-,0,-,0,-,0.0
Seg Al Bahia,ON,15144017000190,BR,ativo,311,Seguradora,Finanças e Seguros,Ação,Bovespa,CSAB3,BRCSABACNOR1,12,414235,175589,-,9903,28253,Real,7680,3.6787760417,22.863151042,-,0,0.0,-,Adrecor Adm. Repres. Corr. Ltda,58.0,Fundacao Maria Emilia F. de Carvalh,6.0,Jose Maria Souza T. Costa,2.4,Paulo Sergio F. de Carvalho G. T.,0.0,-,-,-,-,-,-,-,-,-,-,-,-,Paulo Sergio F. de Carvalho G. T.,30,Fundacao Maria Emilia F. de Carvalh,19.0,Jose Maria Souza T. Costa,5,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Senior Sol,ON,4065791000199,BR,ativo,2279,Editoras de software,Software e Dados,Ação,Bovespa,SNSL3M,-,12,24873,10375,38748,15864,2345,Real,1026,2.2853821816,10.112851219,37.769046695,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sergen,ON,33161340000153,BR,ativo,1059,Outras construções pesadas,Construção,Ação,Bovespa,SGEN3,BRSGENACNOR9,-,-,-,-,-,-,Real,24275032,-,-,-,0,-,-,Sergio Gomes de Vasconcellos,19.4,Antonio de Padua Coinmbra Tavares P,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sergio Gomes de Vasconcellos,40,Antonio de Padua Coinmbra Tavares P,30.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sid Nacional,ON,33042730000104,BR,ativo,403,Transformação de aço em produtos de aço,Siderur & Metalur,Ação,Bovespa,CSNA3,BRCSNAACNOR6,12,46869702,7985821,16519584,6718740,3706033,Real,1457970,2.5419128826,5.4773557813,11.330536826,1.27355,8.5,4.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vicunha Siderurgia S/A,48,Rio Iaco Participacoes S.A.,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sid Nacional,ON,33042730000104,BR,ativo,403,Transformação de aço em produtos de aço,Siderur & Metalur,"ADR,etc (emp estrang)",NYSE,SID,US20440W1053,12,46869702,7985821,16519584,6718740,3706033,Real,1457970,-,-,-,156,1.9,0.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Vicunha Siderurgia S/A,48,Rio Iaco Participacoes S.A.,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sierrabrasil,ON,5878397000132,BR,ativo,2235,Locadora de imóveis,Outros,Ação,Bovespa,SSBR3,BRSSBRACNOR1,12,3271401,1943398,219185,182376,231050,Real,76424,3.1139897613,25.429214612,2.9540785364,0.038457,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sierra Brazil 1 B.V.,67,Enplanta Shopping Participacoes Ltda.,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SLC Agricola,ON,89096457000155,BR,ativo,2074,Agricultura,Agro e Pesca,Ação,Bovespa,SLCE3,BRSLCEACNOR2,12,3584453,1920236,1005640,365788,81647,Real,97490,0.83431939917,19.696765558,10.276249716,0.15896471,1.0,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SLC Participacoes S/A,29,Evaux Participacoes S/A,21.8,Acoes em Tesouraria,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sofisa,ON,60889128000180,BR,ativo,2068,Instituição de intermediacao de crédito (não receptora de depósitos),Finanças e Seguros,Ação,Bovespa,SFSA3,BRSFSAACNOR8,12,4467774,782838,-,-,37368,Real,137747,0.27127912616,5.6831408844,-,0.28710453,-,-,Hilda Diruhy Burmaian,25.6,Ricardo Burmaian,22.6,Alexandre Burmaian,6.3,Valeria Burmaian Kissajikian,5.4,Claudia Regina Burmaian Loeb,5.3,-,-,-,-,-,-,-,-,-,-,Hilda Diruhy Burmaian,83,Alexandre Burmaian,8.4,Valeria Burmaian Kissajikian,4,Claudia Regina Burmaian Loeb,4.2,-,0,-,-,-,-,-,-,-,-,-,-
Sondotecnica,ON,33386210000119,BR,ativo,1088,"Consultoria administrativa, científica e técnica",Outros,Ação,Bovespa,SOND3,BRSONDACNOR5,12,93174,68412,89755,21872,6278,Real,2458,2.5541090317,27.832384052,36.515459723,2.0365270219,-,-,Jaime Rotstein,29.7,Lully Administracao e Part. Ltda,11.6,Acoes em Tesouraria,6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Jaime Rotstein,97,Lully Administracao e Part. Ltda,0.4,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Souza Cruz,ON,33009911000139,BR,ativo,405,Indústria de fumo,Outros,Ação,Bovespa,CRUZ3,BRCRUZACNOR0,12,4253853,2079295,5550178,3757733,1602709,Real,1528451,1.048584166,1.3603936273,3.6312448294,1.0386238,4.5,5.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,British American Tobacco International (Holdings) BV,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Springer,ON,92929520000100,BR,ativo,1096,Indústria de eletrodomésticos,Eletroeletrônicos,Ação,Bovespa,SPRI3,BRSPRIACNOR2,12,206925,128956,68711,13448,46992,Real,126471,0.37156489003,1.0196485314,0.54329662834,0,0.0,0.0,Otamar Empreend Imobil Partic Ltda,38.8,Psbb Administracao e Part. Ltda,13.2,Afam Empreend. e Neg. Com. Ltda,12.4,Walter Sacca,1.9,Rogerio Pinto Coelho Amato,1.7,Mario Amato,0.5,-,0.0,-,-,-,-,-,-,Otamar Empreend Imobil Partic Ltda,49,Afam Empreend. e Neg. Com. Ltda,26.6,Psbb Administracao e Part. Ltda,10,Rogerio Pinto Coelho Amato,3.3,Riomar Coml e Administradora,2,Walter Sacca,0,Mario Amato,0.0,-,-,-,-,-,-
Springs,ON,7718269000157,BR,ativo,2096,Indústria de roupas de tecido,Textil,Ação,Bovespa,SGPS3,BRSGPSACNOR4,12,2679424,1197722,1407841,344860,-409919,Real,143647,-2.853804822,8.3379534554,9.8012130066,0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cia Tecidos Norte Minas Coteminas,68,Bndespar - BNDES Participacoes SA,6.2,Springs Investment Fund I Llc,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SPturis,ON,62002886000160,BR,ativo,941,Outros serviços de apoio,Outros,Ação,Bovespa,AHEB3,BRAHEBACNOR0,12,278921,78599,207571,207571,-4299,Real,4194,-1.0308568409,18.740820219,49.77343227,0,-,-,Acoes em Tesouraria,16.6,Pmsp Prefeitura Mun Sao Paulo,14.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Pmsp Prefeitura Mun Sao Paulo,97,Acoes em Tesouraria,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
