Empresa,CNPJ,Fonte,Link,"Composição acionária – Formato:
Empresa 1 (xx%)
Empresa 2 (yy%)
Empresa 3 (zz%)","Controle sobre outras empresas – Formato:
Empresa 1 (xx%)
Empresa 2 (yy%)
Empresa 3 (zz%)",Observações,Código BOVESPA
J&F Participações S.A,00.350.763/0001-62,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"ZMF Fundo de Investimento em Participações (43,66%)
WWMB Participações Ltda. (12,68%)
JJMB Participações Ltda. (12,68%)
ZMF Participações Ltda. (6,20%)
JJBJ Participações Ltda. (6,20%)
VNMB Participações Ltda. (6,20%)
VVMB Participações Ltda. (6,20%)
VLBM Participações Ltda. (6,20%)",,,
ZMF Fundo de Investimento em Participações,08.661.352/0001-08,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Joesley Mendonça Batista (16,67%)
Wesley Mendonça Batista (16,67%)
Vanessa Mendonça Batista (16,67%)
Vivianne Mendonça Batista (16,67%)
José Batista Júnior (16,67%)
Valére Batista Mendonça Ramos (16,67%)",,,
WWMB Participações Ltda.,07.704.137/0001-76,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,Wesley Mendonça Batista (100%),,,
JJMB Participações Ltda.,07.704.144/0001-78,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,Joesley Mendonça Batista (100%),,,
ZMF Participações Ltda.,08.706.916/0001-73,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,José Batista Sobrinho (100%),,,
JJBJ Participações Ltda.,07.704.148/0001-56,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,José Batista Júnior (100%),,,
VNMB Participações Ltda.,07.704.046/0001-30,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,Vanessa Mendonça Batista (100%),,,
VVMB Participações Ltda.,07.704.039/0001-39,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,Vivianne Mendonça Batista (100%),,,
VLBM Participações Ltda.,07.704.052/0001-98,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,Valére Batista Mendonça Ramos (100%),,,
Prot - Fundo de Invest. em Participacoes,09.412.863/0001-40,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Bndespar - BNDES Participacoes SA (89,84%)",,,
Banco Original SA,92.894.922/0001-08,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,J&F Participações Financeiras ltda (100%),,,
J&F Participações Financeiras ltda,07.570.673/0001-26,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"J&F Participações S.A. (99%)
José Batista Sobrinho (1%)",,,
Ultra S/A Participacoes,54.041.439/0001-91,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=UGPA,"Paulo Guilherme Aguiar Cunha (16,86%)
Ana Maria Levy Villela Igel (15,45%)
Fábio Igel (11,9%)
Christy Participações Ltda. (10,17%)
Márcia Igel Joppert (9,81%)
Joyce Igel de Castro Andrade (8,73%)
Rogério Igel (7,33%)
Lucio de Castro Andrade Filho (5,97%)",,,
Christy Participações Ltda.,33.363.896/0001-22,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=UGPA,"Maria da Conceição Coutinho Beltrão (34,9%)
Hélio Marcos Coutinho Beltrão (21,7%)
Cristiana Coutinho Beltrão (21,7%)
Maria Coutinho Beltrão (21,7%)",,,
TELEMAR PARTICIPAÇÕES S.A.,02.107.946/0001-87,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR,"LF TEL S.A. (19,36%)
AG Telecom Participações S.A. (19,36%)
Bndespar - BNDES Participacoes SA (13,05%)
Bratel Brasil S.A. (12,07%)
FUNDAÇÃO ATLÂNTICO DE SEGURIDADE SOCIAL (11,51%)
Caixa de Previdência dos Funcionários do Banco do Brasil - PREVI (9,69%)
Fundação Dos Economiários Federais - Funcef (7,48%)
Fundação Petrobrás de Seguridade Social - Petros (7,48%)",,,
BRATEL B.V.,12.776.550/0001-86,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR,"PT MÓVEIS - SERVIÇOS DE TELECOMUNICAÇÕES, SGPS, S.A. (100%)",,,
"PT MÓVEIS - SERVIÇOS DE TELECOMUNICAÇÕES, SGPS, S.A.", 05.498.721/0001-97,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR,"TMN - TELECOMUNICAÇÕES MÓVEIS NACIONAIS, S.A. (100%)",,,
"TMN - TELECOMUNICAÇÕES MÓVEIS NACIONAIS, S.A.",,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR,PT COMUNICAÇÕES S.A. (100%),,,
AG Telecom Participações S.A.,03.260.334/0001-92,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR,PASA PARTICIPAÇÕES S.A. (100%),,,
PASA PARTICIPAÇÕES S.A.,11.221.565/0001-15,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR,"ANDRADE GUTIERREZ TELECOMUNICAÇÕES LTDA. (65%)
Bratel Brasil S.A. (35%)",,,
ANDRADE GUTIERREZ TELECOMUNICAÇÕES LTDA.,71.057.921/0001-39,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=OIBR,"ANDRADE GUTIERREZ S.A. (100%)
ADPAR - ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA. (0%)",,,
"SOCIEDADE FIDUCIÁRIA BRASILEIRA SERVIÇOS, NEGÓCIOS E PARTICIPAÇÕES LTDA",00.257.427/0001-70,Econoinfo,,"Carlos Francisco Ribeiro Jereissati (57,70%)",,,
Anwold Investments Inc,05.560.090/0001-99,Econoinfo,,"Ilhas Virgens Britânicas (42,28%)",,,
EDSP75 PARTICIPAÇÕES S.A.,09.626.007/0001-98,Econoinfo,,LA FONTE TELECOM S.A. (65%),,,
ANDRADE GUTIERREZ S.A.,17.262.197/0001-30,Econoinfo,,"ADMINISTRADORA SÃO MIGUEL S.A. (33,33%) 
ADMINISTRADORA SANT’ANA LTDA.(33,33%) 
ADMINISTRADORA SANTO ESTEVÃO S.A. (33,33%)",,,
ADMINISTRADORA SÃO MIGUEL S.A., 19.135.623/0001-08,Econoinfo,,"GUVIDALA PARTICIPAÇÕES LTDA. (7,88%)",,,
GUVIDALA PARTICIPAÇÕES LTDA.,07.154.488/0001-50,Econoinfo,,ÁLVARO FURTADO DE ANDRADE (100%),,,
ADMINISTRADORA SANT’ANA LTDA.,16.741.134/0001-01,Econoinfo,,"ÂNGELA GUTIERREZ (33,33%) 
CRISTIANA GUTIERREZ (33,33%)
Espólio de Roberto Gutierrez (33,32%)",,,
ADMINISTRADORA SANTO ESTEVÃO S.A., 27.157.783/0001-78,Econoinfo,,"SÉRGIO LINS ANDRADE (99,77%)
",,,
BRATEL BRASIL S.A.,12.956.126/0001-13,Econoinfo,,"BRATEL B.V. (98,77%)
PORTUGAL TELECOM BRASIL S.A. (1,23%)",,,
PORTUGAL TELECOM BRASIL S.A.,65.627.184/0001-60,Econoinfo,,"PORTUGAL TELECOM, SGPS, S.A. (99,99%)
PT COMUNICAÇÕES S.A. (0,01%)",,,
"PORTUGAL TELECOM, SGPS, S.A.",05.453.409/0001-87,Econoinfo,,"GRUPO ESPÍRITO SANTO (11,78%)
RS HOLDING (10,04%)
CAPITAL RESEARCH AND MANAGEMENT (9,96%)
Telemar Norte Leste S.A. (7,19%)
CAIXA GERAL DE DEPÓSITOS (6,22%)
Brandes Investments Partners (5,23%)
THE INCOME FUND OF AMERICA (5,08%)
NORGES BANKING (5,00%)
UBS AG (4,68%)
Europacific Growth Fund (2,90%)
Grupo Visabeira (2,63%)
Barclays Plc (2,52%)
BlackRock Inc.(2,34%)
Controlinveste Internacional Finance (2,28%)",,,
PT COMUNICAÇÕES S.A.,05.603.341/0001-75,Econoinfo,,"PT PORTUGAL, SGPS, S.A. (100,00%)",,,
"PT PORTUGAL, SGPS, S.A.",portuguesa,Econoinfo,,"PORTUGAL TELECOM, SGPS, S.A. (100,00%)",,,
Odebrecht Serviços e Part.,10.904.193/0001-69,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"ODEBRECHT S.A (71,76%)
NORDESTE QUIMICA S.A - NORQUISA (28,24%)",,"Odebrecht tem no Ranking, mas está equivocadamente juntado á ODBINV, que é controladora da Odebrecht. Por isso, coloquei a Odebrecht aqui embaixo",
Odebrecht S.A,05.144.757/0001-72,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,ODBINV S.A (100%),,,
ODBINV S.A,15.105.588/0001-15,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"KIEPPE PARTICIPAÇÕES E ADMINISTRAÇÕES LTDA (55,13%)",,,
KIEPPE PARTICIPAÇÕES E ADMINISTRAÇÕES LTDA,04.215.837/0001-09,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"KIEPPE PATRIMONIAL LTDA S/C (99,95%)
NORBERTO ODEBRECHT (0,01%)
NORBERTO ODEBRECHT JUNIOR (0,01%)
FRANCISCO PELTIER QUEIROZ (0,01%)
EDUARDO ODEBRECHT (0,01%)
EMILIO ALVES ODEBRECHT (0,01%)",,,
KIEPPE PATRIMONIAL LTDA S/C,14.407.316/0001-07,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"RIOCON PATRIMONIAL LTDA (21,36%)
N.O.JR PATRIMONIAL LTDA (21,36%)
IPQ PATRIMONIAL S/C LTDA (21,36%)
EAO PATRIMONIAL LTDA (20,65%)
CAPE PATRIMONIAL LTDA (15,27%)
",,,
RIOCON PATRIMONIAL LTDA,02.853.248/0001-20,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"JULIANA NOVIS ODEBRECHT (25%)
LEVITA NORBERTO ODEBRECHT NETO (25%)
SOLANGE NOVIS ODEBRECHT (25%)
VERONICA NOVIS ODEBRECHT (25%)",,,
N.O.JR PATRIMONIAL LTDA,02.878.630/0001-99,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"NORBERTO ODEBRECHT JUNIOR (99,98%)
NORBERTO ODEBRECHT (0,01%)
YOLANDA ALVES ODEBRECHT (0,01%)",,,
IPQ PATRIMONIAL S/C LTDA,02.878.774/0001-45,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"FRANCISCO PELTIER QUEIROZ (51,02%)
ILKA ODEBRECHT PELTIER QUEIROZ (48,95%)
FRANCISCO PELTIER DE QUEIROZ FILHO (0,01%)
IOLANDA PELTIER DE QUEIROZ NEVES DA ROCHA (0,01%)",,,
EAO PATRIMONIAL LTDA,02.853.218/0001-14,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"MARCELO BAHIA ODEBRECHT (25%)
MONICA BAHIA ODEBRECHT (25%)
MARCIA BAHIA ODEBRECHT OLIVEIRA (25%)
MAURICIO BAHIA ODEBRECHT (25%)",,,
CAPE PATRIMONIAL LTDA,02.853.234/0001-07,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"EDUARDO ODEBRECHT DE QUEIROZ (25%)
PAULO ODEBRECHT DE QUEIROZ (25%)
ALEXANDRE ODEBRECHT DE QUEIROZ (25%)
CRISTINA ODEBRECHT DE QUEIROZ CIDREIRA (25%)",,,
NORDESTE QUIMICA S.A - NORQUISA,15.659.535/0001-46,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"ODEBRECHT S.A (99,99%)
ODBINV S.A (0,01%)",,,
BELGRAVIA EMPREENDIMENTOS IMOBILIARIOS SA,71.884.431/0001-06,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"CONSTRUTORA NORBERTO ODEBRECHT S.A (99,99%)
ODEBRECHT ENGENHARIA E CONSTRUÇÃO S.A (0,01%)",,,
CONSTRUTORA NORBERTO ODEBRECHT S.A,15.102.288/0001-82,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRKM,"ODEBRECHT S.A (99,99%)
ODBINV S.A (0,01%)",,,
