i,contr?,nome,razão social,cnpj,Receita líquida pela Valor (milhões de reias),Receita líquida pela Economatica (milhões de reias),“Poder” indireto (das empresas em que i tem participação),“Poder” total (receita da empresa i + valor indireto),Indicador,Fonte,Poder direto - controle,Poder direto - parcial,Poder indireto - controle,Poder indireto - parcial,Composição acionária direta,Estatal ou Privada?
219,"",Investluz S.A.,Investluz S.A.,'',-,-,2627.21,2627.21,0.00,Economatica associado,Coelce (91664.91%),"","","","",
220,"",Ampla Invest,,'07809905000156',-,2627.21,-,2627.21,0.00,Economatica,"","","","","Endesa Brasil (46.89%)
Chilectra Inversud S.A (21.02%)
Enersis S.A (13.68%)
Chilectra S/A (10.34%)
Endesa Latinoamerica S.A. (7.70%)",
221,sim,Coelce,,'07047251000170',-,2627.21,-,2627.21,0.00,Economatica,"","","","",Investluz S.A. (91664.91%),
221,"",Bratel Brasil S.A.,Bratel Brasil S.A.,'',-,-,2624.83,2624.83,0.00,Economatica associado,"","Oi (7.07%)
Telemar (0.05%)","","Oi => {Telemar N L (100.00%, final=7.07%)}","",
222,"",Casino Guichard Perrachon,Casino Guichard Perrachon,'',-,-,2617.69,2617.69,0.00,Economatica associado,"",P.Acucar-Cbd (5.62%),"","","",
223,sim,Alpargatas,,'61079117000105',2574.70,2574.70,-,2574.70,0.00,Economatica,"","","","","Camargo Correa S/A (66.99%)
Silvio Tini de Araujo (19.81%)
Bonsucex Holding Ltda (3.68%)
Ewz Investments Llc - Socopa Soc.Corret. (0.20%)",
223,"",Balwerk-Cons. Econ. e Part. Soc. Ltda.,Balwerk-Cons. Econ. e Part. Soc. Ltda.,'',-,-,2548.32,2548.32,0.00,Economatica associado,"",Energias BR (47.18%),"","","",
224,"",BNDES - Banco Nac de Desenvol Economico e Social,BNDES - Banco Nac de Desenvol Economico e Social,'',-,-,2539.55,2539.55,0.00,Economatica associado,"","Eletrobras (7.02%)
Oi (0.06%)","","Eletrobras => {Eletropar (83.72%, final=5.88%), Celpa (34.79%, final=2.44%), Cemar (33.48%, final=2.35%), Ceee-Gt (32.23%, final=2.26%), Ceee-D (32.23%, final=2.26%), Tran Paulist (9.67%, final=0.68%), Cemat (5.14%, final=0.36%), AES Tiete (0.08%, final=0.01%), Cesp (0.03%, final=0.00%), Celpe (0.03%, final=0.00%), Celesc (0.03%, final=0.00%)}
Oi => {Telemar N L (100.00%, final=0.06%)}","",
225,"",Procter & Gamble do Brasil,,'',2538.60,-,-,2538.60,0.00,Valor,"","","","","",
226,"",Aliança Navegação e Log.,,'',2530.70,-,-,2530.70,0.00,Valor,"","","","","",
227,"",Southmall Holding Ltda,Southmall Holding Ltda,'',-,-,2525.31,2525.31,0.00,Economatica associado,"",Jereissati (24.65%),"","Jereissati => {La Fonte Tel => {Iguatemi (0.91%, final=0.18%)}}","",
228,sim,CPFL Piratininga,,'04172213000151',-,2524.13,-,2524.13,0.00,Economatica,"","","","",CPFL Energia (100.00%),
228,"",Delta Construção,,'',2520.80,-,-,2520.80,0.00,Valor,"","","","","",
229,"",Zaffari & Bourbon,,'',2518.90,-,-,2518.90,0.00,Valor,"","","","","",
230,"",JP Morgan Chase Bank,JP Morgan Chase Bank,'',-,-,2513.65,2513.65,0.00,Economatica associado,"",Eletrobras (7.01%),"","Eletrobras => {Eletropar (83.72%, final=5.87%), Celpa (34.79%, final=2.44%), Cemar (33.48%, final=2.35%), Ceee-Gt (32.23%, final=2.26%), Ceee-D (32.23%, final=2.26%), Tran Paulist (9.67%, final=0.68%), Cemat (5.14%, final=0.36%), AES Tiete (0.08%, final=0.01%), Cesp (0.03%, final=0.00%), Celpe (0.03%, final=0.00%), Celesc (0.03%, final=0.00%)}","",
231,"",Drogaria São Paulo,,'',2507.10,-,-,2507.10,0.00,Valor,"","","","","",
232,"",Hospital São Paulo,,'',2454.70,-,-,2454.70,0.00,Valor,"","","","","",
233,"",Lojas Marisa,,'61189288000189',2450.30,2450.32,-,2450.32,0.00,Economatica,"","","","","Decio Goldfarb (23.83%)
Marcio Luiz Goldfarb (7.16%)
Taef Fund, Llc (6.93%)
Denise Goldfarb Terpins (6.49%)
Marcelo Goldfarb (6.10%)
Flavia Goldfarb Papa (6.10%)
Roberta Goldfarb Philippsen (6.10%)
Rodrigo Terpins (6.03%)
Michel Terpins (6.03%)
Ticiana Terpins Strozenberg (6.00%)",
234,"",Alcoa,,'',2442.30,-,-,2442.30,0.00,Valor,"","","","","",
235,"",Qmra - Participacoes S/A,Qmra - Participacoes S/A,'',-,-,2433.80,2433.80,0.00,Economatica associado,Celpa (54.98%),"","","","",
236,sim,Celpa,,'04895728000180',-,2433.80,-,2433.80,0.00,Economatica,"","","","","Qmra - Participacoes S/A (54.98%)
Eletrobras (34.79%)
Rede Energia (10.20%)",
236,sim,Bandeirante Energ,,'02302100000106',-,2410.62,-,2410.62,0.00,Economatica,"","","","",EDP Energias do Brasil (100.00%),
236,sim,JSL,,'52548435000179',2408.20,2408.24,-,2408.24,0.00,Economatica,"","","","","Simpar S.A. (51.66%)
Fernando Antonio Simoes (13.45%)
Templeton Asset Management, Ltd (6.86%)
Jussara Elaine Simoes (2.21%)
Marita Simoes (2.17%)
Solange Maria Simoes Reis (2.17%)
Acoes em Tesouraria (0.98%)",
236,"",Simpar S.A.,Simpar S.A.,'',-,-,2408.24,2408.24,0.00,Economatica associado,JSL (51.66%),"","","","",
237,"",Ambrew S/A,Ambrew S/A,'',-,-,2372.83,2372.83,0.00,Economatica associado,"",AmBev (8.75%),"","AmBev => {Antarctica Paulista (88.09%, final=7.71%), Polar (18.60%, final=1.63%)}","",
238,"",Manguinhos Participacoes SA,Manguinhos Participacoes SA,'',-,-,2355.54,2355.54,0.00,Economatica associado,Pet Manguinh (61.96%),"","","","",
239,sim,Pet Manguinh,,'33412081000196',-,2355.54,-,2355.54,0.00,Economatica,"","","","","Manguinhos Participacoes SA (61.96%)
Perimeter FIA (8.01%)
Acoes em Tesouraria (0.01%)",
239,"",Tigre,,'',2323.80,-,-,2323.80,0.00,Valor,"","","","","",
240,"",Magnesita,,'08684547000165',2318.90,2318.90,-,2318.90,0.00,Economatica,"","","","","Alumina Holdings, Llc (30.36%)
Rearden L Holdings 3 S.A R.L (7.20%)
Mag - Fundo de Inv. em Participacoe (3.27%)
Gpcp4 FIP (0.39%)",
241,"",Gas Natural International,Gas Natural International,'',-,-,2304.05,2304.05,0.00,Economatica associado,Ceg (35263.62%),"","","","",
242,sim,Ceg,,'33938119000169',2304.10,2304.05,-,2304.05,0.00,Economatica,"","","","","Gas Natural International (35263.62%)
Gas Natural Sdg S.A. (18901.30%)
Acoes em Tesouraria (4.70%)",
242,"",Gas Natural Sdg S.A.,Gas Natural Sdg S.A.,'',-,-,2304.05,2304.05,0.00,Economatica associado,Ceg (18901.30%),"","","","",
243,"",Unigel Participações,,'',2304.00,-,-,2304.00,0.00,Valor,"","","","","",
244,"",Saga Brasil,,'',2282.90,-,-,2282.90,0.00,Valor,"","","","","",
245,sim,Rio Gde Ener,,'02016439000138',-,2279.46,-,2279.46,0.00,Economatica,"","","","",CPFL Energia (100.00%),
245,"",Royal FIC,,'',2265.40,-,-,2265.40,0.00,Valor,"","","","","",
246,"",Rede D´Or,,'',2246.00,-,-,2246.00,0.00,Valor,"","","","","",
247,"",Atento Brasil,,'',2245.30,-,-,2245.30,0.00,Valor,"","","","","",
248,"",Mahle Metal Leve,,'',2236.80,-,-,2236.80,0.00,Valor,"","","","","",
249,"",Metal Leve,,'60476884000187',-,2236.76,-,2236.76,0.00,Economatica,"","","","","Mahle Industria e Comercio Ltda (20.27%)
Mahle Gmbh (3.06%)
Credit Suisse Hedging Griffo Asset Management S.A. (1.74%)
Conselheiros e Diretores Nao Estatutarios (0.01%)",
250,"",Tenaris Confab,Tenaris Confab,'',1635.00,-,591.86,2226.86,0.00,Valor,"",Usiminas (4.97%),"","Usiminas => {Cosipa (94.57%, final=4.70%)}","",
251,"",Galvão,,'',2224.40,-,-,2224.40,0.00,Valor,"","","","","",
252,"",LBR Lácteos Brasil,,'',2212.80,-,-,2212.80,0.00,Valor,"","","","","",
253,sim,Celgpar,,'08560444000193',2211.50,2211.47,-,2211.47,0.00,Economatica,"","","","","Estado de Goias (99.70%)
Acoes em Tesouraria (0.02%)",
253,"",Estado de Goias,Estado de Goias,'',-,-,2211.47,2211.47,0.00,Economatica associado,Celgpar (99.70%),"","","","",
254,"",Bridgestone,,'',2202.00,-,-,2202.00,0.00,Valor,"","","","","",
255,"",Cummins,,'',2189.30,-,-,2189.30,0.00,Valor,"","","","","",
256,"",Tupy,,'84683374000149',2185.50,2185.55,-,2185.55,0.00,Economatica,"","","","","Previ Cx Prev Funcs Bco Brasil (35.81%)
Bndespar - BNDES Participacoes SA (35.77%)
Fund Embratel de Seg Social/Telos (13.30%)
Instituto Aerus de Seguridade Socia (8.06%)
Tempo Capital Principal FIA (0.00%)",
257,"",Diagnósticos da América,,'',2179.90,-,-,2179.90,0.00,Valor,"","","","","",
258,"",Sada,,'61486650000183',881.10,2179.87,-,2179.87,0.00,Economatica,"","","","","Edson de Godoy Bueno (12.07%)
Dulce Pugliese de Godoy Bueno (11.60%)
Petros - Fund. Petrobras de Seg. Social (10.04%)
Mfs Investment Management (5.03%)
Acoes em Tesouraria (0.37%)",
259,"",Cisa Trading,,'',2155.00,-,-,2155.00,0.00,Valor,"","","","","",
260,"",Novelis,,'',2144.80,-,-,2144.80,0.00,Valor,"","","","","",
261,"",Prot - Fundo de Invest. em Participacoes,Prot - Fundo de Invest. em Participacoes,'',-,-,2142.55,2142.55,0.00,Economatica associado,"",JBS (3.47%),"","","",
262,"",BMF Bovespa,,'09346601000125',-,2115.98,-,2115.98,0.00,Economatica,"","","","","Blackrock, Inc (5.43%)
Oppenheimer Funds Inc. (5.34%)
Cmeg Brazil 1 Participacoes Ltda. (5.24%)
Acoes em Tesouraria (2.60%)",
263,"",Novartis Biociências,,'',2090.00,-,-,2090.00,0.00,Valor,"","","","","",
264,"",Positivo Informática,,'',2081.30,-,-,2081.30,0.00,Valor,"","","","","",
265,"",Positivo Inf,,'81243735000148',-,2081.29,-,2081.29,0.00,Economatica,"","","","","Ruben Tadeu Coninck Formighieri (14.42%)
Helio Bruck Rotenberg (14.42%)
Cixares Libero Vargas (14.42%)
Paulo Fernando Ferrari Lago (4.81%)
Samuel Ferrari Lago (4.81%)
Sofia Guimaraes Von Ridder (4.81%)
Giem Raduy Guimaraes (4.81%)
Thais Susana Ferrari Lago (4.81%)
Lucas Raduy Guimaraes (4.81%)
Acoes em Tesouraria (1.97%)",
266,"",Caramuru,,'',2072.00,-,-,2072.00,0.00,Valor,"","","","","",
267,sim,Inepar,Inepar,'76627504000106',1536.50,1536.49,528.88,2065.38,0.00,Economatica,"Inepar Tel (56997.67%)
Ienergia (60.00%)",Cemat (26.32%),"","","Inepar - Administracao e Partic S/A (57.21%)
Mdc Assessoria Empresarial S.A. (6.72%)
Credit Suisse Hedging-Griffo C. V. S/A (4.68%)
Bndespar - BNDES Participacoes SA (2.28%)",
267,"",Inepar - Administracao e Partic S/A,Inepar - Administracao e Partic S/A,'',-,-,2065.38,2065.38,0.00,Economatica associado,Inepar (57.21%),"","Inepar Tel (controlada por Inepar)
Ienergia (controlada por Inepar)","Inepar => {Ienergia (60.00%, final=34.33%), Cemat (26.32%, final=15.06%)}","",
268,sim,Ceee-D,,'08467115000100',-,2028.50,-,2028.50,0.00,Economatica,"","","","","Cia Est de En Eletrica Part. (67.05%)
Eletrobras (32.23%)",
268,sim,AES Sul,,'02016440000162',2027.90,2027.92,-,2027.92,0.00,Economatica,"","","","","AES Guaiba II Empreendimentos Ltda (99.99%)
Acoes em Tesouraria (0.38%)",
268,"",AES Guaiba II Empreendimentos Ltda,AES Guaiba II Empreendimentos Ltda,'',-,-,2027.92,2027.92,0.00,Economatica associado,AES Sul (99.99%),"","","","",
269,"",ABB,,'',2025.80,-,-,2025.80,0.00,Valor,"","","","","",
270,sim,Cemat,,'03467321000199',-,2009.77,-,2009.77,0.00,Economatica,"","","","","Rede Energia (61.84%)
Inepar (26.32%)
Eletrobras (5.14%)",
270,"",Ternium Investiments S.Ar.L,Ternium Investiments S.Ar.L,'',-,-,2006.20,2006.20,0.00,Economatica associado,"",Usiminas (16.86%),"","Usiminas => {Cosipa (94.57%, final=15.94%)}","",
271,"",Roche,,'',1986.60,-,-,1986.60,0.00,Valor,"","","","","",
272,"",Pcp Latin America Power S/A,Pcp Latin America Power S/A,'',-,-,1980.53,1980.53,0.00,Economatica associado,Equatorial (53.56%),Cims (44.20%),"","","",
273,sim,Equatorial,,'03220438000173',-,1980.53,-,1980.53,0.00,Economatica,"","","","","Pcp Latin America Power S/A (53.56%)
Squadra Investimentos - Gestao de Recursos Ltda (10.47%)
Credit Suisse Hedging-Griffo C. V. S/A (6.37%)",
273,"",Supermercado Angeloni,,'',1968.80,-,-,1968.80,0.00,Valor,"","","","","",
274,"",Lojas Cem,,'',1964.00,-,-,1964.00,0.00,Valor,"","","","","",
275,"",Drogarias Pacheco,,'',1944.90,-,-,1944.90,0.00,Valor,"","","","","",
276,"",Kimberly-Clark,,'',1936.20,-,-,1936.20,0.00,Valor,"","","","","",
277,"",Itambé,,'',1931.30,-,-,1931.30,0.00,Valor,"","","","","",
278,"",Camera,,'',1931.30,-,-,1931.30,0.00,Valor,"","","","","",
279,"",Embasa,,'',1924.80,-,-,1924.80,0.00,Valor,"","","","","",
280,sim,Cemar,,'06272793000184',-,1912.11,-,1912.11,0.00,Economatica,"","","","","Equatorial Energia (65.16%)
Eletrobras (33.48%)",
280,"",Cocamar,,'',1908.50,-,-,1908.50,0.00,Valor,"","","","","",
281,"",Even,,'43470988000165',1908.30,1908.35,-,1908.35,0.00,Economatica,"","","","","FIP Genoa (10.53%)
Carlos Luis Terepins (5.59%)
Western Asset Management Company Dtvm Ltda. (5.01%)",
282,"",Grupo Brasil,,'',1906.70,-,-,1906.70,0.00,Valor,"","","","","",
283,"",BM&FBovespa,,'',1904.70,-,-,1904.70,0.00,Valor,"","","","","",
284,"",Votorantim Siderurgia,,'',1902.70,-,-,1902.70,0.00,Valor,"","","","","",
285,"",Editora Saraiva,,'',1889.00,-,-,1889.00,0.00,Valor,"","","","","",
286,"",Saraiva Livr,,'60500139000126',-,1888.97,-,1888.97,0.00,Economatica,"","","","","Jorge Eduardo Saraiva (46.98%)
Olga Maria Barbosa Saraiva (11.76%)
Maria Henriqueta Saraiva M. Goncalv (5.13%)
Maria Eugenia Saraiva M. Goncalves (5.13%)
Maria Cecilia Saraiva M. Goncalves (5.13%)
Maria Sylvia Saraiva M. Goncalves (5.13%)
Ernesto Zarzur (5.03%)",
287,sim,AES Tiete,,'02998609000127',-,1885.96,-,1885.96,0.00,Economatica,"","","","","Companhia Brasiliana de Energia (71.35%)
Eletrobras (0.08%)
Bndespar - BNDES Participacoes SA (0.00%)",
287,"",Spaipa Coca-Cola,,'',1883.50,-,-,1883.50,0.00,Valor,"","","","","",
288,"",Zf,,'',1881.20,-,-,1881.20,0.00,Valor,"","","","","",
289,"",3M,,'',1875.90,-,-,1875.90,0.00,Valor,"","","","","",
290,"",Santa Terezinha Part.,,'',1855.50,-,-,1855.50,0.00,Valor,"","","","","",
291,"",Embrapa,,'',1843.10,-,-,1843.10,0.00,Valor,"","","","","",
292,"",Granol,,'',1838.50,-,-,1838.50,0.00,Valor,"","","","","",
293,"",EcoRodovias,,'04149454000180',1827.40,1827.37,-,1827.37,0.00,Economatica,"","","","","Primav Construcoes e Comercio S/A (44.99%)
Impregilo International Infrastructures (29.24%)
Acoes em Tesouraria (0.03%)",
294,"",Eaton,,'',1800.60,-,-,1800.60,0.00,Valor,"","","","","",
295,"",Lar,,'',1799.60,-,-,1799.60,0.00,Valor,"","","","","",
296,"",Lincoln Junqueira 1,,'',1796.20,-,-,1796.20,0.00,Valor,"","","","","",
297,"",Camargo Correa Energia S.A.,Camargo Correa Energia S.A.,'',-,-,1783.99,1783.99,0.00,Economatica associado,"",VBC Energia (28.09%),"","VBC Energia => {CPFL Energia => {CPFL Piratininga (100.00%, final=7.18%), CPFL Geracao (100.00%, final=7.18%), Paul F Luz (100.00%, final=7.18%), Rio Gde Ener (100.00%, final=7.18%)}, CCR (1.76%, final=0.49%)}","",
298,"",Camil,,'',1783.70,-,-,1783.70,0.00,Valor,"","","","","",
299,"",EMS,,'',1760.90,-,-,1760.90,0.00,Valor,"","","","","",
300,"",Ruben Feffer,Ruben Feffer,'',-,-,1758.20,1758.20,0.00,Economatica associado,"","Suzano Hold (18.12%)
Polpar (18.08%)
Suzano Papel (0.00%)","","Suzano Hold => {Suzano Papel (97.25%, final=17.63%)}","",
301,"",Daniel Feffer,Daniel Feffer,'',-,-,1758.20,1758.20,0.00,Economatica associado,"","Suzano Hold (18.12%)
Polpar (18.08%)
Suzano Papel (0.00%)","","Suzano Hold => {Suzano Papel (97.25%, final=17.63%)}","",
302,"",David Feffer,David Feffer,'',-,-,1758.20,1758.20,0.00,Economatica associado,"","Suzano Hold (18.12%)
Polpar (18.08%)
Suzano Papel (0.00%)","","Suzano Hold => {Suzano Papel (97.25%, final=17.63%)}","",
303,"",Jorge Feffer,Jorge Feffer,'',-,-,1758.20,1758.20,0.00,Economatica associado,"","Suzano Hold (18.12%)
Polpar (18.08%)
Suzano Papel (0.00%)","","Suzano Hold => {Suzano Papel (97.25%, final=17.63%)}","",
304,"",Bianchini,,'',1743.20,-,-,1743.20,0.00,Valor,"","","","","",
305,"",Jose Alencar G Silva-Com Part Emp,Jose Alencar G Silva-Com Part Emp,'',-,-,1742.63,1742.63,0.00,Economatica associado,Wembley (95.87%),"Encorpar (0.64%)
Coteminas (0.01%)","","","",
306,sim,Wembley,,'25329319000196',-,1742.40,-,1742.40,0.00,Economatica,"","","","",Jose Alencar G Silva-Com Part Emp (95.87%),
306,"",Wembley Sociedade Anonima,Wembley Sociedade Anonima,'',-,-,1742.40,1742.40,0.00,Economatica associado,"Encorpar (59.71%)
Coteminas (54.54%)","","","","",
307,sim,Sanepar,,'76484013000145',1742.40,1742.39,-,1742.39,0.00,Economatica,"","","","","Estado do Parana (60.00%)
Domino Holdings S/A (39.71%)",
307,sim,Coteminas,,'22677520000176',1739.00,1739.04,-,1739.04,0.00,Economatica,"","","","","Wembley Sociedade Anonima (54.54%)
Leblon Equities Partners IV - Fundo de Investimento em Acoes (27.96%)
Econorte Emp Cons Nor de Minas Ltda (8.58%)
Farpal Agropastoril e Participacoes Ltda. (3.95%)
Ecopar Empresa de Com e Part Ltda (0.83%)
Jose Alencar G Silva-Com Part Emp (0.01%)
Acoes em Tesouraria (0.00%)",
307,"",M&G Resinas Participacoes Ltda,M&G Resinas Participacoes Ltda,'',-,-,1724.33,1724.33,0.00,Economatica associado,M G Poliest (74.88%),"","","","",
308,sim,M G Poliest,,'56806656000150',-,1724.33,-,1724.33,0.00,Economatica,"","","","","M&G Resinas Participacoes Ltda (74.88%)
Mossi & Ghisolfi Internacional S/A (22.22%)",
308,"",M&G Poliéster,,'',1724.30,-,-,1724.30,0.00,Valor,"","","","","",
309,"",Votorantim Investimentos Industriais S.A,Votorantim Investimentos Industriais S.A,'',-,-,1723.47,1723.47,0.00,Economatica associado,"",Fibria (29.44%),"","Fibria => {Aracruz (16.95%, final=4.99%)}","",
310,"",Albras,,'',1722.50,-,-,1722.50,0.00,Valor,"","","","","",
311,"",Odebrecht Real. Imob.,,'',1719.70,-,-,1719.70,0.00,Valor,"","","","","",
312,"",Noble Brasil,,'',1714.10,-,-,1714.10,0.00,Valor,"","","","","",
313,"",Celma,,'',1708.80,-,-,1708.80,0.00,Valor,"","","","","",
314,"",DPaschoal,,'',1705.10,-,-,1705.10,0.00,Valor,"","","","","",
315,"",CTBC Telecom,,'',1682.20,-,-,1682.20,0.00,Valor,"","","","","",
316,"",Fiagril Participações,,'',1681.20,-,-,1681.20,0.00,Valor,"","","","","",
317,sim,Americel,,'01685903000116',-,1664.09,-,1664.09,0.00,Economatica,"","","","",Claro (100.00%),
317,"",Claro,Claro,'',-,-,1664.09,1664.09,0.00,Economatica associado,Americel (100.00%),"","","","",
318,"",Penske Ribeiro,,'',1663.10,-,-,1663.10,0.00,Valor,"","","","","",
319,"",Hermes,,'',1652.80,-,-,1652.80,0.00,Valor,"","","","","",
320,sim,Confab,,'60882628000190',-,1635.04,-,1635.04,0.00,Economatica,"","","","","Siderca Socied. Anom. Ind. Y Coml. (99.22%)
Tenaris Investiments S.A.R.L. (0.31%)",
320,"",Siderca Socied. Anom. Ind. Y Coml.,Siderca Socied. Anom. Ind. Y Coml.,'',-,-,1635.04,1635.04,0.00,Economatica associado,Confab (99.22%),"","","","",
321,"",Cimpor,,'',1626.10,-,-,1626.10,0.00,Valor,"","","","","",
322,"",Café Santa Clara,,'',1618.70,-,-,1618.70,0.00,Valor,"","","","","",
323,"",Brookfield Brasil Ltda,Brookfield Brasil Ltda,'',-,-,1610.20,1610.20,0.00,Economatica associado,"",Brookfield (43.20%),"","","",
324,"",Tecnisa,,'08065557000112',1546.90,1596.14,-,1596.14,0.00,Economatica,"","","","","Jar Participacoes Ltda (43.76%)
Geracao Futuro L Par FIA (8.47%)
Squadra Investimentos - Gestao de Recursos Ltda (6.36%)
Meyer Joseph Nigri (6.14%)
Lilian Raquel Czeresnia Nigri (3.08%)
Acoes em Tesouraria (1.87%)
Joseph Meyer Nigri (0.04%)",
325,"",Comigo,,'',1584.40,-,-,1584.40,0.00,Valor,"","","","","",
326,"",Tangará,,'',1574.20,-,-,1574.20,0.00,Valor,"","","","","",
327,"",Elie Horn,Elie Horn,'',-,-,1571.60,1571.60,0.00,Economatica associado,"","Cyre Com-Ccp (34.83%)
Cyrela Realty (23.86%)
Brasilagro (1.09%)","","","",
328,sim,Autometal,,'59104513000195',1562.70,1562.67,-,1562.67,0.00,Economatica,"","","","",Cie Autometal S.A. (77.15%),
328,"",Cie Autometal S.A.,Cie Autometal S.A.,'',-,-,1562.67,1562.67,0.00,Economatica associado,Autometal (77.15%),"","","","",
329,"",Corsan,,'',1558.90,-,-,1558.90,0.00,Valor,"","","","","",
330,sim,Itautec,,'54526082000131',1542.30,1542.29,-,1542.29,0.00,Economatica,"","","","",Itausa Invest Itau S.A. (94.01%),
330,"",Coop,,'',1538.30,-,-,1538.30,0.00,Valor,"","","","","",
331,"",Móveis Gazin,,'',1537.60,-,-,1537.60,0.00,Valor,"","","","","",
332,"",Magneti Marelli Sist. Autom.,,'',1529.40,-,-,1529.40,0.00,Valor,"","","","","",
333,"",Vulcabras|azaleia,,'',1529.20,-,-,1529.20,0.00,Valor,"","","","","",
334,sim,Vulcabras,,'50926955000142',-,1529.20,-,1529.20,0.00,Economatica,"","","","","Gold Negocios e Participacao S/A (53.50%)
Gianpega Neg. e Particip. Ltda (31.65%)
Pedro Grendene Bartelle (5.40%)
Maria Cristina Nunes Bartelle (0.33%)
Espolio Elida Lurdes Bartelle (0.33%)",
334,"",Gold Negocios e Participacao S/A,Gold Negocios e Participacao S/A,'',-,-,1529.20,1529.20,0.00,Economatica associado,Vulcabras (53.50%),"","","","",
335,sim,Escelsa,,'28152650000171',-,1518.08,-,1518.08,0.00,Economatica,"","","","",EDP Energias do Brasil (100.00%),
335,"",Aço Cearense,,'',1513.20,-,-,1513.20,0.00,Valor,"","","","","",
336,"",Tegma,,'02351144000118',1509.40,1509.36,-,1509.36,0.00,Economatica,"","","","","Transportadora Sinimbu S/A (39.90%)
Coimex Empreendimentos e Participacoes Ltda. (25.40%)
Dynamo Internacional Gestao de Recursos Ltda. (2.70%)
Dynamo Administracao de Recursos Ltda (2.70%)
Fernando Luiz Schettino Moreira (0.16%)
Acoes em Tesouraria (0.10%)
Maria Thereza Moreira Franco (0.00%)
Mario Sergio Moreira Franco (0.00%)
Augusto Cesar Moreira Franco (0.00%)
Ana Lucia Moreira Franco Ballve (0.00%)",
337,"",Vonpar Refrescos,,'',1509.20,-,-,1509.20,0.00,Valor,"","","","","",
338,"",Fnd Fundo Nacional de Desenvolvimento,Fnd Fundo Nacional de Desenvolvimento,'',-,-,1503.98,1503.98,0.00,Economatica associado,"",Eletrobras (4.20%),"","Eletrobras => {Eletropar (83.72%, final=3.51%), Celpa (34.79%, final=1.46%), Cemar (33.48%, final=1.41%), Ceee-Gt (32.23%, final=1.35%), Ceee-D (32.23%, final=1.35%), Tran Paulist (9.67%, final=0.41%), Cemat (5.14%, final=0.22%), AES Tiete (0.08%, final=0.00%), Cesp (0.03%, final=0.00%), Celpe (0.03%, final=0.00%), Celesc (0.03%, final=0.00%)}","",
339,"",Metrô-SP,,'',1498.70,-,-,1498.70,0.00,Valor,"","","","","",
340,"",Seara,,'',1493.30,-,-,1493.30,0.00,Valor,"","","","","",
341,"",Grendene,,'89850341000160',1482.60,1482.64,-,1482.64,0.00,Economatica,"","","","","Alexandre G. Bartelle Part. S/A (29.93%)
Verona Neg. e Participacoes S/A (23.94%)
Grendene Negocios S/A (20.05%)",
342,"",Serasa Experian,,'',1479.00,-,-,1479.00,0.00,Valor,"","","","","",
343,"",Belagrícola,,'',1475.60,-,-,1475.60,0.00,Valor,"","","","","",
344,"",Invepar,,'',1474.20,-,-,1474.20,0.00,Valor,"","","","","",
345,"",Paulo Pedro Bellini,Paulo Pedro Bellini,'',-,-,1473.19,1473.19,0.00,Economatica associado,"",Marcopolo (43.73%),"","","",
346,"",Solví Participações,,'',1465.30,-,-,1465.30,0.00,Valor,"","","","","",
347,"",Conab,,'',1460.90,-,-,1460.90,0.00,Valor,"","","","","",
348,"",Columbus Holdings S.A.,Columbus Holdings S.A.,'',-,-,1450.55,1450.55,0.00,Economatica associado,"",Cielo (34.47%),"","","",
349,"",Mangels,Mangels S/A,'',722.90,-,722.90,1445.80,0.00,Valor,Mangels Indl (99924.02%),"","","","",
350,"",Columbia Trading,,'',1444.50,-,-,1444.50,0.00,Valor,"","","","","",
351,"",Martin-Brower,,'',1433.00,-,-,1433.00,0.00,Valor,"","","","","",
352,"",CPTM,,'',1424.60,-,-,1424.60,0.00,Valor,"","","","","",
353,"",Cia Tecidos Norte Minas Coteminas,Cia Tecidos Norte Minas Coteminas,'',-,-,1415.77,1415.77,0.00,Economatica associado,Springs (61.51%),Santanense (2.14%),"","","",
354,"",Prosegur,,'',1413.80,-,-,1413.80,0.00,Valor,"","","","","",
355,"",Atlas Schindler,,'',1412.20,-,-,1412.20,0.00,Valor,"","","","","",
356,sim,Springs,,'07718269000157',-,1407.84,-,1407.84,0.00,Economatica,"","","","","Cia Tecidos Norte Minas Coteminas (61.51%)
Leblon Equities Gestao de Recursos Ltda. (14.97%)",
356,"",Construcap,,'',1405.00,-,-,1405.00,0.00,Valor,"","","","","",
357,"",Engevix,,'',1402.60,-,-,1402.60,0.00,Valor,"","","","","",
358,"",Aché,,'',1401.20,-,-,1401.20,0.00,Valor,"","","","","",
359,"",Doux Frangosul,,'',1398.30,-,-,1398.30,0.00,Valor,"","","","","",
360,"",Ideiasnet,,'02365069000144',1386.90,1386.93,-,1386.93,0.00,Economatica,"","","","","Lorentzen Empreendimentos S.A. (15.30%)
Ebx Investimentos Ltda (14.94%)
Truetech Participacoes Ltda (12.39%)
Opus Gestao de Recursos (9.18%)",
361,"",Brookfield Incorporacoes S.A.,Brookfield Incorporacoes S.A.,'',-,-,1382.64,1382.64,0.00,Economatica associado,Company (100.00%),"","","","",
362,sim,Company,,'58877812000108',-,1382.64,-,1382.64,0.00,Economatica,"","","","",Brookfield Incorporacoes S.A. (100.00%),
362,"",Hosp. Albert Einstein,,'',1380.30,-,-,1380.30,0.00,Valor,"","","","","",
